source,target,label,newClusterPredictedLabel,newClusterConfidence,newClusterIsCorrect
agree,people,,False,0.0,0
do,time,,False,0.0,0
give,time,,False,0.0,0
help,community,,False,0.0,0
think,time,,False,0.0,0
have,time,,False,0.0,0
be,change,,False,0.0,0
think,change,,False,0.0,0
go,change,,True,0.5,0
make,change,,False,0.0,0
use,time,,False,0.0,0
dedicate,time,,False,0.0,0
join,NGO,,False,0.0,0
help,money,,False,0.0,0
raise,money,,False,0.0,0
do,schedule,,False,0.0,0
follow,schedule,,False,0.0,0
be,contribution,,False,0.0,0
eat,contribution,,False,0.0,0
study,contribution,,False,0.0,0
laze,contribution,,False,0.0,0
ask,contribution,,False,0.0,0
make,contribution,,False,0.0,0
organise,event,,False,0.0,0
think,grade,,False,0.0,0
be,grade,,False,0.0,0
go,grade,,False,0.0,0
prevent,grade,,False,0.0,0
get,grade,,False,0.0,0
be,money,,False,0.0,0
want,time,,False,0.0,0
waste,time,,False,0.0,0
try,people,,False,0.0,0
recruit,people,,False,0.0,0
teach,child,,False,0.0,0
remind,Doria,,False,0.0,0
use,child,,False,0.0,0
buy,child,,False,0.0,0
present,money,,False,0.0,0
make,reading,,False,0.0,0
attend,reading,,False,0.0,0
shrug,shoulder,,False,0.0,0
think,irrespective,,False,0.0,0
be,community,,False,0.0,0
go,community,,False,0.0,0
put,community,,False,0.0,0
be,effect,,False,0.0,0
remember,girl,,False,0.0,0
be,Red,,False,0.0,0
ask,Red,,False,0.0,0
join,Red,,False,0.0,0
be,opinion,,False,0.0,0
give,book,,False,0.0,0
start,scratch,,False,0.0,0
make,field,,False,0.0,0
talk,woman,,True,1.0,0
use,casualty,,False,0.0,0
pride,casualty,,False,0.0,0
learn,casualty,,False,0.0,0
nurse,casualty,,False,0.0,0
boost,girl,,False,0.0,0
make,join,,False,0.0,0
be,benefit,,False,0.0,0
be,difference,,False,0.0,0
go,difference,,False,1.0,0
reap,difference,,False,0.0,0
think,conscience,,False,0.0,0
be,conscience,,False,0.0,0
raise,session,,False,0.0,0
point,people,,False,0.0,0
work,community,,False,0.0,0
do,group,,False,0.0,0
think,group,,False,0.0,0
travel,group,,True,0.5,0
lead,tour,,False,0.0,0
be,way,,False,0.0,0
be,reason,,False,0.0,0
be,tour,,False,0.0,0
go,tour,,False,1.0,0
want,place,,False,0.0,0
see,place,,False,0.0,0
be,group,,False,0.0,0
move,group,,True,0.5,0
go,feeling,,True,1.0,0
decide,time,,False,0.0,0
travel,tour,,False,1.0,0
go,place,,True,0.6666666666666666,0
have,customer,,False,0.0,0
be,time,,False,0.0,0
take,time,,False,0.0,0
go,time,,False,0.8333333333333334,0
be,OK,,False,0.0,0
be,people,,False,0.0,0
make,privercy,,False,0.0,0
feel,privercy,,False,0.0,0
tire,privercy,,False,0.0,0
make,rule,,False,0.0,0
feel,rule,,False,0.0,0
tire,rule,,False,0.0,0
be,rule,,False,0.0,0
have,rule,,False,0.0,0
have,trip,,False,0.0,0
be,trip,,False,0.0,0
go,trip,,False,1.0,0
think,day,,False,0.0,0
want,day,,False,0.0,0
get,day,,False,0.0,0
let,rule,,False,0.0,0
prefer,ourselves,,False,0.0,0
travel,ourselves,,False,1.0,0
Traveling,ourselves,,False,0.0,0
cost,trip,,False,0.0,0
plan,trip,,False,0.0,0
be,kind,,False,0.0,0
go,group,,True,0.5,0
be,specialize,,False,0.0,0
have,specialize,,False,0.0,0
have,knowledge,,False,0.0,0
be,study,,False,0.0,0
spend,time,,False,0.0,0
prefare,language,,False,0.0,0
study,language,,False,1.0,0
sue,time,,False,0.0,0
be,thing,,False,0.0,0
take,aolt,,False,0.0,0
have,prblems,,False,0.0,0
amny,prblems,,False,0.0,0
make,subject,,False,0.0,0
consetrating,subject,,False,0.0,0
study,subject,,True,0.5555555555555556,0
be,subject,,False,0.0,0
study,make,,False,0.6,0
become,career,,False,0.0,0
take,course,,False,0.0,0
s,well,,False,0.0,0
be,well,,False,0.0,0
haver,well,,False,0.0,0
disagree,knowledge,,False,0.0,0
have,childrens,,False,0.0,0
be,care,,False,0.0,0
take,care,,False,0.0,0
spend,ting,,False,0.0,0
s,ting,,False,0.0,0
grow,peple,,False,0.0,0
reflect,way,,False,0.0,0
allow,person,,False,0.0,0
have,thing,,False,0.0,0
be,peaon,,False,0.0,0
think,subject,,False,0.0,0
have,subject,,False,0.0,0
depend,person,,False,0.0,0
have,idea,,False,0.0,0
be,increase,,False,0.0,0
specialize,subject,,False,0.0,0
be,year,,False,0.0,0
have,year,,False,0.0,0
be,culture,,False,0.0,0
increase,culture,,False,0.0,0
be,post,,False,0.0,0
incresing,post,,False,0.0,0
complete,opinion,,False,0.0,0
agree,part,,False,0.0,0
spend,part,,False,0.0,0
specialise,specific,,False,0.0,0
remain,specialisation,,False,0.0,0
try,thing,,False,0.0,0
take,risk,,False,0.0,0
have,spirit,,False,0.0,0
challenge,spirit,,False,0.0,0
have,something,,False,0.0,0
be,something,,False,0.0,0
be,founder,,False,0.0,0
call,HONDA,,False,0.0,0
be,challenger,,False,0.0,0
found,company,,False,0.0,0
be,owner,,False,0.0,0
have,ambition,,False,0.0,0
desire,people,,False,0.0,0
help,people,,False,0.0,0
be,loss,,False,0.0,0
invest,motor,,False,0.0,0
be,challenge,,False,0.0,0
endevored,thing,,False,0.0,0
successed,spirit,,False,0.0,0
make,robot,,False,0.0,0
call,Asimo,,False,0.0,0
invest,hydrogen,,False,0.0,0
be,challenging,,False,0.0,0
bring,success,,False,0.0,0
be,trade,,False,0.0,0
call,Suzuki,,False,0.0,0
work,company,,False,0.0,0
be,spirit,,False,0.0,0
try,something,,False,0.0,0
lead,company,,False,0.0,0
be,example,,False,0.0,0
challenge,advantage,,False,0.0,0
